YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,2,10,1.93,3.77,0.47,7.04,14.57,19.36,10.92,89.16,4.17,77.72,3.2,1.59,0.55,0.38,8.44,1.02,14.9
2015,2,11,2.06,4.2,0.45,6.98,14.95,18.67,12.73,89.67,1.33,77.75,3.14,1.78,0.5,0.42,5.94,0.97,14.74
2015,2,12,2.09,3.87,0.69,7.08,15.29,19.78,12.26,89.56,3.61,77.82,3.2,2.68,0.79,0.39,7.52,1.56,15.31
2015,2,13,2.45,4.7,0.83,7.12,15.26,19.02,12.46,88.73,3.52,77.84,3.23,3.3,1.2,0.47,6.56,1.98,15.35
2015,2,14,2.1,4.37,0.72,6.97,15.36,19.76,12.38,87.66,0.12,77.81,3.15,2.95,0.86,0.43,7.38,1.78,15.48
2015,2,15,2.31,4.82,0.62,7.1,15.68,20.33,12.16,87.14,2.16,77.77,3.2,2.47,0.98,0.48,8.17,1.46,15.89
2015,2,16,2.78,5.92,0.61,7.35,16.09,20.8,12.81,86.16,1.17,77.73,3.33,2.53,0.72,0.59,7.99,1.44,16.28
2015,2,17,2.79,6.07,0.64,7.53,16.33,21.9,11.59,82.84,4.96,77.78,3.37,2.6,0.26,0.6,10.31,1.42,16.39
2015,2,18,2.49,5.25,0.58,7.38,16.6,22.28,12.45,84.55,5.03,77.8,3.33,2.54,0.17,0.52,9.83,1.11,16.66
2015,2,19,2.23,4.63,0.91,7.19,15.76,20.23,13.13,89.28,1.56,77.74,3.24,2.89,1.17,0.46,7.1,1.91,16.19
2015,2,20,2.06,4.23,0.68,7.26,15.64,20.03,12.8,89.94,1.57,77.65,3.27,2.3,1.03,0.42,7.23,1.43,16.0
2015,2,21,2.64,5.89,0.58,7.31,15.59,20.13,12.5,85.96,0.2,77.71,3.31,2.25,0.29,0.58,7.63,1.24,15.43
2015,2,22,2.79,6.33,0.8,7.46,15.82,21.26,11.93,82.27,0.0,77.71,3.31,3.18,1.06,0.62,9.33,1.87,16.2
2015,2,23,2.34,5.23,0.59,7.17,15.3,20.21,11.78,86.3,2.31,77.72,3.2,2.21,0.57,0.51,8.43,1.31,15.42
2015,2,24,2.13,4.8,0.46,7.36,16.0,21.05,12.11,85.2,2.89,77.66,3.3,1.51,0.32,0.47,8.94,0.86,16.38
2015,2,25,1.7,3.59,0.34,6.88,15.64,18.69,13.87,88.67,0.0,77.66,3.07,1.35,0.3,0.35,4.82,0.8,15.86
2015,2,26,2.18,4.85,0.48,6.98,15.49,19.73,13.14,86.73,1.72,77.69,3.13,1.68,0.83,0.47,6.59,1.16,15.74
2015,2,27,2.6,5.52,0.58,7.26,15.51,20.29,13.0,87.37,4.68,77.72,3.27,2.12,0.88,0.54,7.29,1.37,15.75
2015,2,28,2.2,4.51,0.56,7.17,16.34,21.13,13.22,85.51,1.96,77.75,3.23,2.68,0.59,0.44,7.91,1.36,16.69
2015,3,1,2.37,4.99,0.4,7.25,15.3,19.34,12.91,90.39,3.87,77.76,3.28,1.16,0.74,0.48,6.43,0.93,15.36
2015,3,2,2.37,5.01,0.4,7.16,15.83,19.62,13.07,86.98,4.23,77.7,3.23,1.95,0.4,0.49,6.55,0.94,15.9
2015,3,3,1.96,3.78,0.56,7.41,15.71,20.61,12.35,88.43,2.49,77.59,3.35,2.0,0.6,0.37,8.26,1.23,15.94
2015,3,4,2.21,4.5,0.52,7.38,15.38,19.07,12.81,88.36,0.85,77.61,3.36,2.15,0.64,0.43,6.26,1.24,15.52
