YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,2,10,2.02,4.34,1.81,7.99,23.22,27.26,19.79,84.35,5.57,91.72,3.71,4.19,1.06,0.39,7.47,2.71,23.66
2015,2,11,2.55,5.69,2.21,8.03,22.7,26.81,20.23,86.17,3.69,91.87,3.74,5.36,1.55,0.51,6.58,3.29,23.27
2015,2,12,2.95,7.02,1.94,8.15,23.85,29.2,18.31,79.08,1.44,91.89,3.76,4.53,1.83,0.63,10.89,2.95,24.32
2015,2,13,2.93,6.93,1.27,8.2,24.82,30.04,18.59,71.31,0.59,91.87,3.77,3.26,0.3,0.62,11.45,1.85,25.29
2015,2,14,2.87,6.65,1.34,8.02,24.47,29.35,19.11,74.56,1.69,91.71,3.68,2.7,1.72,0.6,10.24,2.07,25.21
2015,2,15,2.65,5.65,1.02,7.96,23.49,27.04,20.72,78.67,2.52,91.61,3.7,2.6,0.64,0.51,6.32,1.51,23.95
2015,2,16,1.54,3.25,1.33,7.72,21.82,24.87,19.22,84.48,8.67,91.63,3.54,4.16,0.6,0.29,5.65,1.96,22.37
2015,2,17,2.16,4.59,1.84,7.71,21.03,24.38,18.34,88.87,9.04,91.62,3.56,5.19,1.76,0.42,6.04,2.81,21.44
2015,2,18,1.46,2.9,2.43,7.79,20.77,23.48,18.87,90.82,14.18,91.5,3.61,6.26,2.16,0.26,4.61,3.56,21.08
2015,2,19,1.86,4.13,2.12,7.64,21.4,25.26,17.82,84.66,4.61,91.57,3.53,4.63,1.88,0.38,7.44,3.08,21.95
2015,2,20,2.34,5.45,1.25,7.73,21.8,25.38,19.04,84.98,0.71,91.76,3.55,3.13,0.72,0.5,6.34,1.95,21.91
2015,2,21,2.82,7.16,1.7,8.0,23.24,29.09,17.12,75.67,0.0,91.93,3.63,3.66,1.87,0.66,11.97,2.6,23.84
2015,2,22,2.87,7.7,2.3,8.02,22.57,28.55,16.98,74.26,0.0,91.95,3.64,4.8,2.29,0.71,11.57,3.38,23.42
2015,2,23,2.79,7.24,2.49,8.03,23.09,29.16,17.31,73.4,0.02,91.9,3.66,4.81,2.44,0.67,11.85,3.66,23.84
2015,2,24,2.58,6.43,1.71,7.86,22.73,27.95,17.0,77.31,1.62,91.9,3.59,3.99,0.79,0.6,10.95,2.48,23.45
2015,2,25,2.11,4.75,1.28,7.44,21.64,25.46,18.52,81.79,0.68,91.97,3.41,3.57,0.45,0.44,6.94,1.92,22.15
2015,2,26,2.83,6.3,0.91,7.57,23.29,28.68,17.81,75.89,2.71,91.66,3.51,1.84,0.93,0.59,10.87,1.36,24.09
2015,2,27,2.77,6.55,1.36,7.71,23.51,29.11,18.76,78.53,5.9,91.42,3.56,2.96,1.5,0.61,10.35,2.07,24.4
