YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,WSC
2015,2,8,2.85,6.61,1.03,8.24,21.05,27.63,16.03,84.84,8.45,89.2,3.73,3.7,0.31,0.59,11.6,1.92,21.21,1.5
2015,2,9,2.35,5.43,1.22,8.0,20.71,24.48,18.24,89.18,7.96,89.34,3.67,4.67,0.96,0.48,6.24,2.77,20.72,2.17
2015,2,10,2.1,4.46,0.99,8.04,21.75,26.38,18.43,85.32,2.91,89.52,3.72,3.69,1.27,0.4,7.95,2.28,21.91,1.75
2015,2,11,2.6,6.01,0.89,8.07,21.99,27.42,18.68,84.79,2.98,89.66,3.74,3.55,0.49,0.54,8.74,2.0,22.24,1.53
2015,2,12,2.96,7.03,0.92,8.16,23.22,29.19,17.31,77.34,1.34,89.71,3.76,3.43,0.49,0.63,11.88,1.97,23.06,1.38
2015,2,13,2.55,5.65,0.75,8.19,23.53,30.09,16.99,73.76,1.36,89.68,3.78,2.79,1.03,0.51,13.1,1.69,23.75,1.33
2015,2,14,2.66,5.81,0.6,8.03,22.86,29.25,17.58,78.2,1.2,89.53,3.69,1.92,0.76,0.52,11.67,1.38,23.26,1.17
2015,2,15,2.33,4.72,0.76,8.0,22.0,26.39,18.83,79.96,2.82,89.42,3.7,2.33,0.7,0.43,7.56,1.62,21.9,1.21
2015,2,16,1.56,3.38,0.68,7.76,20.47,24.64,17.12,84.35,5.49,89.44,3.54,2.75,0.14,0.31,7.52,1.45,20.36,1.07
2015,2,17,2.01,4.14,0.86,7.76,19.54,22.84,16.21,89.79,7.79,89.43,3.57,3.76,1.26,0.38,6.63,2.02,19.54,1.61
2015,2,18,1.16,2.26,1.02,7.83,19.42,23.08,17.32,90.74,9.35,89.32,3.62,4.4,1.41,0.21,5.76,2.4,19.48,1.93
2015,2,19,1.78,3.92,0.92,7.66,20.17,25.57,15.85,85.13,3.13,89.38,3.53,3.6,1.18,0.36,9.72,2.15,20.41,1.71
2015,2,20,2.41,5.59,0.82,7.74,20.93,24.77,17.61,84.43,0.35,89.57,3.54,3.68,0.63,0.51,7.16,1.88,20.77,1.49
2015,2,21,2.89,7.23,0.91,8.05,22.34,29.9,15.7,75.18,0.0,89.74,3.63,2.54,1.66,0.67,14.2,1.98,22.65,1.73
2015,2,22,2.84,7.44,1.18,8.09,21.67,29.18,15.77,74.3,0.01,89.76,3.63,3.16,1.98,0.69,13.41,2.43,22.14,1.99
