Date,Coffee_Price,Coffee_Return
2015-06-30,130.64999389648438,-0.0011
2015-07-01,125.0999984741211,-0.0425
2015-07-02,125.5999984741211,0.004
2015-07-05,125.5999984741211,0.0
2015-07-06,123.3000030517578,-0.0183
2015-07-07,122.9000015258789,-0.0032
2015-07-08,123.1500015258789,0.002
2015-07-09,122.75,-0.0032
2015-07-10,122.9499969482422,0.0016
2015-07-12,122.9499969482422,0.0
2015-07-13,126.5999984741211,0.0297
2015-07-14,129.85000610351562,0.0257
2015-07-15,128.0,-0.0142
2015-07-16,127.4499969482422,-0.0043
2015-07-17,127.0,-0.0035
2015-07-19,127.0,0.0
2015-07-20,125.8499984741211,-0.0091
2015-07-21,123.8499984741211,-0.0159
2015-07-22,125.0500030517578,0.0097
2015-07-23,121.5500030517578,-0.028
2015-07-24,122.25,0.0058
2015-07-26,122.25,0.0
2015-07-27,120.4000015258789,-0.0151
2015-07-28,120.25,-0.0012
2015-07-29,122.1500015258789,0.0158
2015-07-30,124.9000015258789,0.0225
2015-07-31,125.25,0.0028
2015-08-02,125.25,0.0
2015-08-03,123.9499969482422,-0.0104
2015-08-04,124.9000015258789,0.0077
2015-08-05,125.9000015258789,0.008
2015-08-06,124.25,-0.0131
2015-08-07,127.8000030517578,0.0286
2015-08-09,127.8000030517578,0.0
2015-08-10,133.5,0.0446
2015-08-11,137.1999969482422,0.0277
2015-08-12,131.85000610351562,-0.039
2015-08-13,137.0500030517578,0.0394
2015-08-14,137.5,0.0033
2015-08-16,137.5,0.0
2015-08-17,134.75,-0.02
2015-08-18,135.3000030517578,0.0041
2015-08-19,131.14999389648438,-0.0307
2015-08-20,127.6500015258789,-0.0267
2015-08-21,121.9000015258789,-0.045
2015-08-23,121.9000015258789,0.0
2015-08-24,117.5,-0.0361
2015-08-25,117.0500030517578,-0.0038
2015-08-26,118.6999969482422,0.0141
2015-08-27,121.0500030517578,0.0198
2015-08-28,120.4499969482422,-0.005
